Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Success
2016,151,6.7,472307,330.25,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,112,6.5,102177,75.31,48,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,125,4.1,244474,166.15,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2006,130,8.5,913152,53.08,66,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2014,129,7.7,440209,128.25,58,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,133,7.4,39784,31.86,69,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015,120,8.1,632842,153.63,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,106,7.5,291,0.01,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,107,7.2,89849,61.28,68,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,124,7.1,78079,40.07,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,108,7.5,39134,3.73,76,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,97,6.8,43977,30.98,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,108,8.1,296853,341.26,78,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,169,7.1,498821,309.4,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2012,143,8.1,1045588,623.28,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2009,153,8.3,959065,120.52,69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2006,151,7.3,552027,423.03,53,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2016,116,5.3,147717,128.34,60,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,148,8.8,1583625,292.57,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,118,7.9,105081,5.88,72,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,180,8.2,865134,116.87,75,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,149,8.1,636243,167.74,79,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2015,137,7.2,301249,350.03,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,124,7,455169,652.18,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,129,6.4,27869,10.38,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,162,7.8,935408,760.51,83,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015,187,7.8,341170,54.12,68,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,128,7.4,162122,86.2,51,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,153,8.1,431185,60.96,74,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,123,7,187547,47.17,32,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,146,8.1,342429,169.71,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,114,7.1,106463,43.02,57,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,141,7.4,516895,458.99,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,116,7.4,175067,36.25,70,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,106,8.6,34110,4.68,79,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,90,5.8,9247,0.15,62,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2016,105,6.3,10181,1.29,77,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2006,151,8.5,937414,132.37,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,132,7,108836,1.87,55,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,115,7,570814,181.02,57,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015,144,8,556097,228.43,80,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2015,116,7.3,202973,45.43,56,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,102,7.7,115546,26.86,88,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,120,5.4,1954,1.66,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,110,6.3,117590,126.59,44,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,108,7.7,339797,25.44,78,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2016,89,6.3,3712,10.16,44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2013,134,8.1,486338,56.67,96,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2006,117,7.7,637104,210.59,52,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2011,130,8.1,590595,380.96,87,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2016,105,5.8,30761,54.73,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,118,6.2,50359,1.33,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2016,104,7.2,192968,71.9,76,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016,97,7.4,157026,486.29,77,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,127,6.7,101058,87.24,57,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,139,6.7,362093,150.83,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2016,98,6,53183,46.01,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,164,8.5,1222645,448.13,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,106,7.5,198243,364,77,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,165,5.7,255483,245.43,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,96,6.6,69651,38.56,58,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,108,6.4,153481,143.7,51,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2015,156,8,499424,183.64,76,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,139,7.3,50953,57.64,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,125,6,109756,128,69,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,86,6.4,78328,55.12,59,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2014,107,8.5,477276,13.09,88,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,130,7.1,318051,238.67,61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2012,140,7.3,200090,21.38,68,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2007,122,8.1,660286,74.27,91,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,143,7.3,386102,144.81,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2010,138,8.1,855604,127.97,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2009,127,8,526324,257.7,82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2010,94,6.2,34184,64,56,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,130,7.8,246360,70.24,81,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,118,8.2,224132,14.68,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,165,8.4,1039115,162.8,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2016,144,8.1,33418,2.01,84,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016,104,7.4,47694,14.26,77,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,162,7.6,410249,107.5,56,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2007,113,7.6,442082,121.46,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,121,6.2,97623,34.26,42,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,117,6.4,50853,55.47,66,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,142,7.2,735604,408,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2016,88,5.8,4299,0.2,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,121,7.6,243230,46.88,82,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,94,4.7,97618,41.8,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2013,131,7,400519,101.79,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,118,7.4,396714,84.24,68,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,112,7.5,291457,31.49,69,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,121,7.9,373244,23.62,81,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,90,7,6946,1.8,63,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,132,8,552298,233.91,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,118,6.1,78043,58.4,47,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,144,8,495106,167.01,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
